Shear wall,Floor,Length,Height,Area,Cumulated self weight,Shear,T,C,Hold-down anchor capacity,T,,Hold-down studs,,,Shear/m,,Bottom plate attachment (to foundation),,,,16d (d= 0.268 in) nails,,,16d (d= 0.268 in) nails,,,wood screws 20 (d= 0.32 in),,,SDWS log screw (d= 0.197 in),,,,,,,,,,
,,(m),(m),(m²),(kN),(kN),(kN),(kN),(kN),(kip),,,,,(kN/m),,Shear,Bolt spacement,Number of bolts,Shear/bolt,number,spacement,OK,Number/2,spacement,OK,number,spacement,OK,number,spacement,OK,,type,number,rows,bolts/row,spacement,,
EC1A,1,4.87,3.45,16.82,50.73,79.02,30.69,-56.05,40.00,6.90,7.00,3,,$floor.B1,16.23,,79.02,0.91,6,13.17,108.00,0.05,0,54,0.09,0,26.00,0.19,0,21.00,0.23,1,,SDWS log screw (d= 0.197 in),42,2,21,9,2 rows.,SDWS log screw (d= 0.197 in) at 9 in. o/c; 42 fasteners in 2 rows.
EC1B,1,9.20,3.45,31.78,60.45,12.43,0.00,-4.67,-,0.00,-,-,,$floor.B1,1.35,,12.43,0.91,11,1.13,17.00,0.54,1,,0.00,1,5.00,0.00,1,4.00,0.00,1,,16d (d= 0.268 in) nails,17,1,17,22,1 row.,16d (d= 0.268 in) nails at 22 in. o/c; 17 fasteners in 1 row.
EC1C,1,9.20,3.45,31.78,60.45,154.27,27.70,-57.93,30.00,6.23,6.00,2,,$floor.B1,16.77,,154.27,0.91,11,14.02,211.00,0.04,0,105.5,0.09,0,51.00,0.18,0,41.00,0.22,1,,SDWS log screw (d= 0.197 in),82,2,41,9,2 rows.,SDWS log screw (d= 0.197 in) at 9 in. o/c; 82 fasteners in 2 rows.
WC3A,3,9.20,3.30,30.38,19.75,30.35,1.02,-10.89,10.00,0.23,0.00,0,,$floor.B3,3.30,,0.00,"1,000.00",1,0.00,42.00,0.22,0,21,0.44,1,10.00,0.00,1,9.00,0.00,1,,16d (d= 0.268 in) nails,42,2,21,18,2 rows.,16d (d= 0.268 in) nails at 18 in. o/c; 42 fasteners in 2 rows.
WC3B,3,9.20,3.30,30.38,19.75,4.77,0.00,-1.71,-,0.00,-,-,,$floor.B3,0.52,,0.00,"1,000.00",1,0.00,7.00,1.31,1,,0.00,1,2.00,0.00,1,2.00,0.00,1,,16d (d= 0.268 in) nails,7,1,7,60,1 row.,16d (d= 0.268 in) nails at 60 in. o/c; 7 fasteners in 1 row.
WC3C,3,9.20,3.30,30.38,19.75,59.25,11.39,-21.27,20.00,2.56,3.00,1,,$floor.B3,6.44,,0.00,"1,000.00",1,0.00,81.00,0.11,0,40.5,0.23,0,20.00,0.46,1,16.00,0.00,1,,wood screws 20 (d= 0.32 in),40,2,20,19,2 rows.,wood screws 20 (d= 0.32 in) at 19 in. o/c; 40 fasteners in 2 rows.
WC2A,2,9.20,3.35,30.85,39.80,54.41,0.00,-19.83,-,0.00,-,-,,$floor.B2,5.91,,0.00,"1,000.00",1,0.00,75.00,0.12,0,37.5,0.25,0,18.00,0.51,1,15.00,0.00,1,,wood screws 20 (d= 0.32 in),36,2,18,21,2 rows.,wood screws 20 (d= 0.32 in) at 21 in. o/c; 36 fasteners in 2 rows.
WC2B,2,9.20,3.35,30.85,39.80,8.56,0.00,-3.12,-,0.00,-,-,,$floor.B2,0.93,,0.00,"1,000.00",1,0.00,12.00,0.77,1,,0.00,1,3.00,0.00,1,3.00,0.00,1,,16d (d= 0.268 in) nails,12,1,12,32,1 row.,16d (d= 0.268 in) nails at 32 in. o/c; 12 fasteners in 1 row.
WC2C,2,9.20,3.35,30.85,39.80,106.22,18.81,-38.71,20.00,4.23,4.00,2,,$floor.B2,11.55,,0.00,"1,000.00",1,0.00,145.00,0.06,0,72.5,0.13,0,35.00,0.26,0,29.00,0.32,1,,SDWS log screw (d= 0.197 in),58,2,29,12,2 rows.,SDWS log screw (d= 0.197 in) at 12 in. o/c; 58 fasteners in 2 rows.
WC1A,1,9.20,3.45,31.78,60.45,79.02,0.00,-29.67,-,0.00,-,-,,$floor.B1,8.59,,79.02,0.91,11,7.18,108.00,0.09,0,54,0.17,0,26.00,0.35,1,21.00,0.00,1,,wood screws 20 (d= 0.32 in),52,2,26,14,2 rows.,wood screws 20 (d= 0.32 in) at 14 in. o/c; 52 fasteners in 2 rows.
WC1B,1,9.20,3.45,31.78,60.45,12.43,0.00,-4.67,-,0.00,-,-,,$floor.B1,1.35,,12.43,0.91,11,1.13,17.00,0.54,1,,0.00,1,5.00,0.00,1,4.00,0.00,1,,16d (d= 0.268 in) nails,17,1,17,22,1 row.,16d (d= 0.268 in) nails at 22 in. o/c; 17 fasteners in 1 row.
WC1C,1,9.20,3.45,31.78,60.45,154.27,27.70,-57.93,30.00,6.23,6.00,2,,$floor.B1,16.77,,154.27,0.91,11,14.02,211.00,0.04,0,105.5,0.09,0,51.00,0.18,0,41.00,0.22,1,,SDWS log screw (d= 0.197 in),82,2,41,9,2 rows.,SDWS log screw (d= 0.197 in) at 9 in. o/c; 82 fasteners in 2 rows.
,,,,,,,59.27,-66.23,60.00,,13.00,4.00,,,19.17,,,,,16.98,,,12,,,19,,,35,,,54,,,82,,,9,,
,,,,,,,,,,,,52,,,"4,309.98",,,,,,,,,,,,,,16,,,19,,,,,,,,
