 Comb. , Elem. , Sect. , N , Vy , Vz , T , My , Mz 
combULS01, 39, 1, -0.404488271949, -3087.5180273, -19.0289392676, 0.0, -21381.0866476, 0.0
combULS01, 41, 0, 385.768916167, 239961.083747, 2132.69322242, 0.0, -91583.478892, 0.0
combULS01, 41, 1, 3562.83157077, 234323.91393, 2132.69322242, 0.0, -88291.9361979, 0.0
combULS01, 42, 0, 103.589068398, 81775.1343029, 731.411800808, 0.0, -27415.7730608, 0.0
combULS01, 42, 1, -147.373815761, 22806.0259172, 731.411800808, 0.0, -53197.9755569, 0.0
combULS01, 43, 0, 38.2055227484, 20585.5177653, 205.313762698, 0.0, -5656.36200779, 0.0
combULS01, 43, 1, 4.82319226516, 4373.67308025, 205.313762698, 0.0, -32362.7275295, 0.0
combULS01, 44, 0, -751.103630726, 16615.2916103, 699.453574731, 0.0, -52165.4051051, 0.0
combULS01, 44, 1, 1545.97708825, 79597.6170739, 699.453574731, 0.0, -26234.4517386, 0.0
combULS01, 45, 0, 26.9438731606, 58985.9240258, 930.34786538, 0.0, -32815.9515392, 0.0
combULS01, 45, 1, 506.471063144, 60203.427252, 930.34786538, 0.0, -32598.1571686, 0.0
combULS01, 46, 0, 4.68640753626, 19437.7039118, 299.52139375, 0.0, -9809.0317995, 0.0
combULS01, 46, 1, -3.49784803799, 13262.895486, 299.52139375, 0.0, -23371.0507219, 0.0
combULS01, 47, 0, -1283.19429713, 4585.47822992, 231.461482306, 0.0, -31656.1404175, 0.0
combULS01, 47, 1, 399.40520948, 19753.3613929, 231.461482306, 0.0, -5118.43297021, 0.0
combULS01, 48, 0, -693.526564833, 12917.6462407, 423.190511095, 0.0, -23194.8789417, 0.0
combULS01, 48, 1, 206.891110917, 18961.1164002, 423.190511095, 0.0, -9477.10574563, 0.0
combULS01, 49, 0, -139.570094915, 10762.9942971, 188.685576821, 0.0, -7852.28377471, 0.0
combULS01, 49, 1, 75.9910034064, 10684.8081816, 188.685576821, 0.0, -7810.32095876, 0.0
combULS01, 51, 0, 43.9511193205, -20546.2499002, -208.662350406, 0.0, -5645.48528766, 0.0
combULS01, 51, 1, -13.6228674164, 4367.98083872, -208.662350406, 0.0, -32336.0006999, 0.0
combULS01, 52, 0, 125.823963171, -81621.0772385, -741.542365799, 0.0, -27364.9045251, 0.0
combULS01, 52, 1, -158.186532093, 22663.704466, -741.542365799, 0.0, -53170.1320574, 0.0
combULS01, 53, 0, 437.02625552, -239582.396076, -2163.57210563, 0.0, -91465.7299411, 0.0
combULS01, 53, 1, 3568.7453107, 234184.110556, -2163.57210563, 0.0, -88313.6717558, 0.0
combULS01, 54, 0, 7.66105465666, -19404.2363856, -305.635915606, 0.0, -9798.77643862, 0.0
combULS01, 54, 1, -13.4679997258, 13229.1696454, -305.635915606, 0.0, -23360.0527602, 0.0
combULS01, 55, 0, 34.2274312233, -58947.6102708, -943.818205505, 0.0, -32795.9122413, 0.0
combULS01, 55, 1, 506.910724414, 60113.5198052, -943.818205505, 0.0, -32587.3472637, 0.0
combULS01, 56, 0, -753.299808428, -16735.3126573, -710.040253256, 0.0, -52181.3184685, 0.0
combULS01, 56, 1, 1547.62596644, 79535.8358659, -710.040253256, 0.0, -26233.6436274, 0.0
combULS01, 57, 0, -138.492107016, -10745.5886342, -191.417521496, 0.0, -7849.56906262, 0.0
combULS01, 57, 1, 73.9924652287, 10670.7157833, -191.417521496, 0.0, -7809.38448967, 0.0
combULS01, 58, 0, -693.648504786, -12898.550902, -427.540005476, 0.0, -23191.3465476, 0.0
combULS01, 58, 1, 206.979856796, 18947.8450499, -427.540005476, 0.0, -9480.91629454, 0.0
combULS01, 59, 0, -1283.25754372, -4570.81039852, -234.436885147, 0.0, -31659.3563732, 0.0
combULS01, 59, 1, 399.995700329, 19749.357516, -234.436885147, 0.0, -5130.35187345, 0.0
combULS01, 61, 0, 139.570094911, -11396.5984931, -188.685576822, 0.0, -7892.83001755, 0.0
combULS01, 61, 1, -75.9910034011, -11474.7846086, -188.685576822, 0.0, -7934.7928335, 0.0
combULS01, 62, 0, 693.526564825, -14456.5436719, -423.190511099, 0.0, -23699.4063736, 0.0
combULS01, 62, 1, -206.891110916, -20493.9047724, -423.190511099, 0.0, -9954.67107144, 0.0
combULS01, 63, 0, 1283.19429713, -4833.76814829, -231.461482308, 0.0, -32894.0241104, 0.0
combULS01, 63, 1, -399.405209482, -21563.368639, -231.461482308, 0.0, -5632.81084922, 0.0
combULS01, 64, 0, -4.68640753785, -20017.3172609, -299.521393746, 0.0, -9622.74501758, 0.0
