 Comb. , Elem. , Sect. , N , Vy , Vz , T , My , Mz 
combULS01, 58, 1, -75.9121323549, 29474.4819816, 152.783949997, 0.0, -14625.8318588, 0.0
combULS01, 59, 0, 471.177881626, -8840.57386525, 83.206188041, 0.0, -49041.3265878, 0.0
combULS01, 59, 1, -146.296378016, 32580.4550065, 83.206188041, 0.0, -8587.74137817, 0.0
combULS01, 61, 0, -50.216760693, -16247.6958338, 71.9263796583, 0.0, -11043.5722914, 0.0
combULS01, 61, 1, 25.9738670971, -16240.2466631, 71.9263796583, 0.0, -11039.5105395, 0.0
combULS01, 62, 0, -254.802064498, -21913.1631443, 159.599102685, 0.0, -34573.7583384, 0.0
combULS01, 62, 1, 76.0507851503, -29013.4621683, 159.599102685, 0.0, -14512.5861336, 0.0
combULS01, 63, 0, -471.276819533, -8642.95081525, 87.86860459, 0.0, -48704.2683941, 0.0
combULS01, 63, 1, 147.221406782, -31950.7912386, 87.86860459, 0.0, -8420.10867703, 0.0
combULS01, 64, 0, 4.59074580306, -29118.0228863, 115.899890957, 0.0, -14575.07465, 0.0
combULS01, 64, 1, -10.9195771104, -22032.7164638, 115.899890957, 0.0, -34617.4804079, 0.0
combULS01, 65, 0, 16.9150223573, -87878.015299, 354.642048192, 0.0, -49430.7046202, 0.0
combULS01, 65, 1, 186.386993649, -88162.7286244, 354.642048192, 0.0, -49408.5694586, 0.0
combULS01, 66, 0, -277.93949105, -28645.0106056, 267.066611373, 0.0, -79019.7349564, 0.0
combULS01, 66, 1, 569.234099262, -124537.45771, 267.066611373, 0.0, -41561.3682794, 0.0
combULS01, 67, 0, 19.5819397565, -32191.9929379, 78.6362504737, 0.0, -8547.69707303, 0.0
combULS01, 67, 1, -16.0648873446, -8680.20444633, 78.6362504737, 0.0, -48868.9299488, 0.0
combULS01, 68, 0, 59.5290646994, -125192.651451, 278.371504596, 0.0, -41865.5239948, 0.0
combULS01, 68, 1, -64.5669556249, -29879.9657276, 278.371504596, 0.0, -79233.5761895, 0.0
combULS01, 69, 0, 191.193305896, -358566.922073, 812.930601465, 0.0, -136394.707111, 0.0
combULS01, 69, 1, 1313.87999601, -357023.373301, 812.930601465, 0.0, -135402.519982, 0.0
combULS01, 71, 0, -471.177881555, 8653.46156857, -83.2061879989, 0.0, -48701.9801667, 0.0
combULS01, 71, 1, 146.296378032, -31959.7912402, -83.2061879989, 0.0, -8409.83591773, 0.0
combULS01, 72, 0, -254.611423577, 21937.9454363, -152.783949915, 0.0, -34575.9560499, 0.0
combULS01, 72, 1, 75.912132377, -29034.4526874, -152.783949915, 0.0, -14510.3849985, 0.0
combULS01, 73, 0, -51.9059762362, 16269.4092918, -67.6458973648, 0.0, -11045.2254819, 0.0
combULS01, 73, 1, 29.1058255846, -16260.4710002, -67.6458973648, 0.0, -11040.3517685, 0.0
combULS01, 74, 0, -274.498741229, 28550.2672547, -250.478881325, 0.0, -78996.4074024, 0.0
combULS01, 74, 1, 566.651126328, -124611.497081, -250.478881325, 0.0, -41567.5422055, 0.0
combULS01, 75, 0, 5.50366261417, 87930.8125641, -333.536592654, 0.0, -49448.7295968, 0.0
combULS01, 75, 1, 185.699444981, -88272.4412947, -333.536592654, 0.0, -49422.1695222, 0.0
combULS01, 76, 0, -0.069739751396, 29159.9155378, -106.319549198, 0.0, -14585.3652352, 0.0
combULS01, 76, 1, 4.70340677862, -22081.397973, -106.319549198, 0.0, -34628.4183472, 0.0
combULS01, 77, 0, 110.887786929, 359015.429707, -764.551480174, 0.0, -136543.00437, 0.0
combULS01, 77, 1, 1304.61560127, -357163.318968, -764.551480174, 0.0, -135352.474811, 0.0
combULS01, 78, 0, 24.6930878264, 125397.666839, -262.499124615, 0.0, -41932.4999426, 0.0
combULS01, 78, 1, -47.6244637573, -30032.0951603, -262.499124615, 0.0, -79252.996408, 0.0
combULS01, 79, 0, 10.5801687043, 32249.2101855, -73.3896310857, 0.0, -8562.92977699, 0.0
combULS01, 79, 1, 12.8388515415, -8698.16235903, -73.3896310857, 0.0, -48899.5582668, 0.0
combULS01, 81, 0, 125.147446809, 296967.303293, 800.289350838, 0.0, -113054.663828, 0.0
combULS01, 81, 1, 1356.52163241, 295112.059933, 800.289350838, 0.0, -111862.120633, 0.0
combULS01, 82, 0, 29.9680445871, 103697.73984, 274.677877029, 0.0, -34695.9135459, 0.0
combULS01, 82, 1, -51.5756140266, 24952.7734099, 274.677877029, 0.0, -65614.9042465, 0.0
combULS01, 83, 0, 12.1066256695, 26679.1132296, 76.8947638871, 0.0, -7097.39784673, 0.0
combULS01, 83, 1, 9.75882196009, 7187.17277596, 76.8947638871, 0.0, -40471.5681406, 0.0
combULS01, 84, 0, -285.60478166, 23468.4391723, 262.278555617, 0.0, -65357.8812519, 0.0
combULS01, 84, 1, 589.017713127, 102910.240372, 262.278555617, 0.0, -34330.3385271, 0.0
